"pred","obs","模型"
0.0602922775282308,1,"基础模型 (仅 X)"
0.531866195724238,1,"基础模型 (仅 X)"
0.533366026761865,0,"基础模型 (仅 X)"
0.241763791383315,0,"基础模型 (仅 X)"
0.0144498003174503,0,"基础模型 (仅 X)"
0.152837527377825,0,"基础模型 (仅 X)"
0.147212281305699,0,"基础模型 (仅 X)"
0.226511248514149,1,"基础模型 (仅 X)"
0.383395214862169,0,"基础模型 (仅 X)"
0.0756659650274706,0,"基础模型 (仅 X)"
0.571062682096775,1,"基础模型 (仅 X)"
0.414080049227957,0,"基础模型 (仅 X)"
0.0499046869800839,0,"基础模型 (仅 X)"
0.404355212829455,0,"基础模型 (仅 X)"
0.0405837603784089,0,"基础模型 (仅 X)"
0.0426645770145042,0,"基础模型 (仅 X)"
0.0245496226753428,0,"基础模型 (仅 X)"
0.0929276704100388,0,"基础模型 (仅 X)"
0.0296219510576056,0,"基础模型 (仅 X)"
0.0294955979099966,0,"基础模型 (仅 X)"
0.330330794866155,0,"基础模型 (仅 X)"
0.0825925760308491,0,"基础模型 (仅 X)"
0.0338433023919577,0,"基础模型 (仅 X)"
0.250196075755739,0,"基础模型 (仅 X)"
0.0422295776264391,0,"基础模型 (仅 X)"
0.0229763626193199,0,"基础模型 (仅 X)"
0.112099428151935,0,"基础模型 (仅 X)"
0.324023423160666,1,"基础模型 (仅 X)"
0.0875826660305375,0,"基础模型 (仅 X)"
0.526649769329496,1,"基础模型 (仅 X)"
0.0962811562676215,1,"基础模型 (仅 X)"
0.377425400876674,0,"基础模型 (仅 X)"
0.401535448198808,1,"基础模型 (仅 X)"
0.0568764859604404,0,"基础模型 (仅 X)"
0.224580268540845,0,"基础模型 (仅 X)"
0.0759987406088484,0,"基础模型 (仅 X)"
0.0134924865404462,0,"基础模型 (仅 X)"
0.0100417014607274,0,"基础模型 (仅 X)"
0.0132750227978948,0,"基础模型 (仅 X)"
0.00996003587404617,0,"基础模型 (仅 X)"
0.0721076017491423,0,"基础模型 (仅 X)"
0.0135130418991005,0,"基础模型 (仅 X)"
0.0723633317659105,0,"基础模型 (仅 X)"
0.0486306281338662,0,"基础模型 (仅 X)"
0.0681697833976771,0,"基础模型 (仅 X)"
0.0684559457602324,0,"基础模型 (仅 X)"
0.147622909429222,0,"基础模型 (仅 X)"
0.295208216927679,1,"基础模型 (仅 X)"
0.0418287746787111,0,"基础模型 (仅 X)"
0.124095278348378,1,"基础模型 (仅 X)"
0.143779797668604,0,"基础模型 (仅 X)"
0.0776191713439202,1,"基础模型 (仅 X)"
0.251892011556868,0,"基础模型 (仅 X)"
0.138737969842786,0,"基础模型 (仅 X)"
0.0715725842583371,0,"基础模型 (仅 X)"
0.012376023191891,0,"基础模型 (仅 X)"
0.363373906672144,0,"基础模型 (仅 X)"
0.124480982752078,0,"基础模型 (仅 X)"
0.0933625807108742,1,"基础模型 (仅 X)"
0.074039264552741,0,"基础模型 (仅 X)"
0.208441047554795,0,"基础模型 (仅 X)"
0.147380324592832,0,"基础模型 (仅 X)"
0.292719028565194,1,"基础模型 (仅 X)"
